"year","rate","Variable","Value"
2029,1.5,"remain_ghg_old_rand",0.000725010435779614
2029,1.5,"remain_ghg_neutral_rand",0.000713365830060452
2029,1.5,"remain_ghg_decarb_rand",0.000705751273980356
2029,1.5,"relative_kw_direct_prio",0.849012205988467
2029,1.5,"relative_ghg_direct_prio",0.791607595011156
2029,1.5,"relative_kw_prio",0.851459574324854
2029,1.5,"relative_ghg_old_prio",0.823680627875879
2029,1.5,"relative_ghg_neutral_prio",0.796636608501929
2029,1.5,"relative_ghg_decarb_prio",0.785169360943473
2029,1.5,"relative_kw_direct_rand",0.937747356219526
2029,1.5,"relative_ghg_direct_rand",0.903309218843601
2029,1.5,"relative_kw_rand",0.939154147281576
2029,1.5,"relative_ghg_old_rand",0.928449430303276
2029,1.5,"relative_ghg_neutral_rand",0.913537331094061
2029,1.5,"relative_ghg_decarb_rand",0.903786119379466
2030,1.5,"sum_saved_kw_direct_prio",56425985.8074463
2030,1.5,"sum_saved_ghg_direct_prio",1.7909594011132e-05
2030,1.5,"sum_saved_kw_prio",60667121.3662857
2030,1.5,"sum_saved_ghg_old_prio",1.6386800792709e-05
2030,1.5,"sum_saved_ghg_neutral_prio",1.9215920646867e-05
2030,1.5,"sum_saved_ghg_decarb_prio",2.0366862607179e-05
2030,1.5,"sum_saved_kw_direct_rand",31799668.7398964
2030,1.5,"sum_saved_ghg_direct_rand",1.10663809926262e-05
2030,1.5,"sum_saved_kw_rand",34542280.4511111
2030,1.5,"sum_saved_ghg_old_rand",9.30884489120483e-06
2030,1.5,"sum_saved_ghg_neutral_rand",1.12374686038835e-05
2030,1.5,"sum_saved_ghg_decarb_rand",1.25316324836555e-05
2030,1.5,"cum_saved_kw_direct_prio",512919651.123482
2030,1.5,"cum_saved_ghg_direct_prio",0.000159167075949927
2030,1.5,"cum_saved_kw_prio",563578587.761577
2030,1.5,"cum_saved_ghg_old_prio",0.000154071612315875
2030,1.5,"cum_saved_ghg_neutral_prio",0.000178018948878006
2030,1.5,"cum_saved_ghg_decarb_prio",0.000188124470245872
2030,1.5,"cum_saved_kw_direct_rand",220013144.676841
2030,1.5,"cum_saved_ghg_direct_rand",7.66076192809369e-05
2030,1.5,"cum_saved_kw_rand",240547325.041572
2030,1.5,"cum_saved_ghg_old_rand",6.51814729773212e-05
2030,1.5,"cum_saved_ghg_neutral_rand",7.87547024091615e-05
2030,1.5,"cum_saved_ghg_decarb_rand",8.76634223690296e-05
2030,1.5,"remain_kw_direct_prio",2510461598.36457
2030,1.5,"remain_ghg_direct_prio",0.000518676638874311
2030,1.5,"remain_kw_prio",2822108938.77848
2030,1.5,"remain_ghg_old_prio",0.000626811451549856
2030,1.5,"remain_ghg_neutral_prio",0.000602864114987724
2030,1.5,"remain_ghg_decarb_prio",0.000592758593619858
2030,1.5,"remain_kw_direct_rand",2803368104.81122
2030,1.5,"remain_ghg_direct_rand",0.000601236095543302
2030,1.5,"remain_kw_rand",3145140201.49849
2030,1.5,"remain_ghg_old_rand",0.000715701590888409
2030,1.5,"remain_ghg_neutral_rand",0.000702128361456569
2030,1.5,"remain_ghg_decarb_rand",0.000693219641496701
2030,1.5,"relative_kw_direct_prio",0.830349000407959
2030,1.5,"relative_ghg_direct_prio",0.7651861742331
2030,1.5,"relative_kw_prio",0.83354087365011
2030,1.5,"relative_ghg_old_prio",0.802695666681322
2030,1.5,"relative_ghg_neutral_prio",0.772028672261464
2030,1.5,"relative_ghg_decarb_prio",0.759087526735988
2030,1.5,"relative_kw_direct_rand",0.927229440642296
2030,1.5,"relative_ghg_direct_rand",0.886983359725035
2030,1.5,"relative_kw_rand",0.928951705331356
2030,1.5,"relative_ghg_old_rand",0.916528509845453
2030,1.5,"relative_ghg_neutral_rand",0.899146612273431
2030,1.5,"relative_ghg_decarb_rand",0.887738092391125
2031,1.5,"sum_saved_kw_direct_prio",54340095.4073398
2031,1.5,"sum_saved_ghg_direct_prio",1.72634857238999e-05
2031,1.5,"sum_saved_kw_prio",58881950.6917319
2031,1.5,"sum_saved_ghg_old_prio",1.58861658773085e-05
2031,1.5,"sum_saved_ghg_neutral_prio",1.85513967052828e-05
2031,1.5,"sum_saved_ghg_decarb_prio",1.97605894251028e-05
2031,1.5,"sum_saved_kw_direct_rand",32500400.4816749
2031,1.5,"sum_saved_ghg_direct_rand",1.12803688284246e-05
2031,1.5,"sum_saved_kw_rand",35272008.5395663
2031,1.5,"sum_saved_ghg_old_rand",9.49789665332958e-06
2031,1.5,"sum_saved_ghg_neutral_rand",1.14673163387903e-05
2031,1.5,"sum_saved_ghg_decarb_rand",1.27930688985143e-05
2031,1.5,"cum_saved_kw_direct_prio",567259746.530822
2031,1.5,"cum_saved_ghg_direct_prio",0.000176430561673827
2031,1.5,"cum_saved_kw_prio",622460538.453309
2031,1.5,"cum_saved_ghg_old_prio",0.000169957778193183
2031,1.5,"cum_saved_ghg_neutral_prio",0.000196570345583289
2031,1.5,"cum_saved_ghg_decarb_prio",0.000207885059670975
2031,1.5,"cum_saved_kw_direct_rand",252513545.158516
2031,1.5,"cum_saved_ghg_direct_rand",8.78879881093615e-05
2031,1.5,"cum_saved_kw_rand",275819333.581138
2031,1.5,"cum_saved_ghg_old_rand",7.46793696306507e-05
2031,1.5,"cum_saved_ghg_neutral_rand",9.02220187479518e-05
2031,1.5,"cum_saved_ghg_decarb_rand",0.000100456491267544
2031,1.5,"remain_kw_direct_prio",2456121502.95724
2031,1.5,"remain_ghg_direct_prio",0.000501413153150411
2031,1.5,"remain_kw_prio",2763226988.08675
2031,1.5,"remain_ghg_old_prio",0.000610925285672547
2031,1.5,"remain_ghg_neutral_prio",0.000584312718282441
2031,1.5,"remain_ghg_decarb_prio",0.000572998004194755
2031,1.5,"remain_kw_direct_rand",2770867704.32954
2031,1.5,"remain_ghg_direct_rand",0.000589955726714877
2031,1.5,"remain_kw_rand",3109868192.95892
2031,1.5,"remain_ghg_old_rand",0.00070620369423508
2031,1.5,"remain_ghg_neutral_rand",0.000690661045117779
2031,1.5,"remain_ghg_decarb_rand",0.000680426572598186
2031,1.5,"relative_kw_direct_prio",0.812375714565646
2031,1.5,"relative_ghg_direct_prio",0.739717935247692
2031,1.5,"relative_kw_prio",0.81614944274275
2031,1.5,"relative_ghg_old_prio",0.78235181929569
2031,1.5,"relative_ghg_neutral_prio",0.74827172635788
2031,1.5,"relative_ghg_decarb_prio",0.733782086857092
2031,1.5,"relative_kw_direct_rand",0.916479754182085
2031,1.5,"relative_ghg_direct_rand",0.870341811560279
2031,1.5,"relative_kw_rand",0.918533730174737
2031,1.5,"relative_ghg_old_rand",0.904365489423021
2031,1.5,"relative_ghg_neutral_rand",0.884461550105452
2031,1.5,"relative_ghg_decarb_rand",0.871355269545432
2032,1.5,"sum_saved_kw_direct_prio",52810018.5038818
2032,1.5,"sum_saved_ghg_direct_prio",1.67380622696423e-05
2032,1.5,"sum_saved_kw_prio",56461338.4873673
2032,1.5,"sum_saved_ghg_old_prio",1.5197048047248e-05
2032,1.5,"sum_saved_ghg_neutral_prio",1.77996011651388e-05
2032,1.5,"sum_saved_ghg_decarb_prio",1.89040281250308e-05
2032,1.5,"sum_saved_kw_direct_rand",32599231.3429141
2032,1.5,"sum_saved_ghg_direct_rand",1.12549175957651e-05
2032,1.5,"sum_saved_kw_rand",35322518.3736637
2032,1.5,"sum_saved_ghg_old_rand",9.51619713362847e-06
2032,1.5,"sum_saved_ghg_neutral_rand",1.14493662881941e-05
2032,1.5,"sum_saved_ghg_decarb_rand",1.27818018882181e-05
2032,1.5,"cum_saved_kw_direct_prio",620069765.034703
2032,1.5,"cum_saved_ghg_direct_prio",0.000193168623943469
2032,1.5,"cum_saved_kw_prio",678921876.940676
2032,1.5,"cum_saved_ghg_old_prio",0.000185154826240431
2032,1.5,"cum_saved_ghg_neutral_prio",0.000214369946748428
2032,1.5,"cum_saved_ghg_decarb_prio",0.000226789087796006
2032,1.5,"cum_saved_kw_direct_rand",285112776.50143
2032,1.5,"cum_saved_ghg_direct_rand",9.91429057051266e-05
2032,1.5,"cum_saved_kw_rand",311141851.954802
2032,1.5,"cum_saved_ghg_old_rand",8.41955667642792e-05
2032,1.5,"cum_saved_ghg_neutral_rand",0.000101671385036146
2032,1.5,"cum_saved_ghg_decarb_rand",0.000113238293155762
2032,1.5,"remain_kw_direct_prio",2403311484.45335
2032,1.5,"remain_ghg_direct_prio",0.000484675090880769
2032,1.5,"remain_kw_prio",2706765649.59938
